Lan	Lon	Dist	Prec	Esti	Obs	IR
31.33	90.06	125	1.95	2.3	0.3	Y
30.3	90.22	127	5.9	4.5	-1.4	Y
30.25	90.23	128	8.53	9.5	1	Y
29.59	90.15	129	15.38	12.5	-2.9	N
30.42	90.32	136	8.46	7	-1.5	N
30.56	90.31	136	2.7	2	-0.7	Y
30.2	89.49	0	24.01	9	-15	N
30.15	89.46	6	23.1	6.5	-16.6	N
30.26	90.03	14	24.99	10	-15	N
30.22	89.35	14	16.91	6	-10.9	N
30.31	89.42	14	21.94	10	-11.9	N
30.32	90.07	22	11.35	8	-3.4	N
29.58	89.58	26	3.87	6.5	2.6	N
29.59	90.08	30	16.71	8	-8.7	N
30.25	90.23	33	8.53	7.5	-1	Y
30.3	90.22	34	5.9	4.5	-1.4	N
29.59	90.15	35	15.38	10	-5.4	N
30.47	90.13	38	6.91	4.5	-2.4	N
30.51	89.33	39	5.35	4.5	-0.9	Y
30.23	89.08	41	8.93	5.5	-3.4	N
30.42	90.32	49	8.46	5	-3.5	N
30.23	88.59	50	14.39	7	-7.4	N
30.05	90.37	50	11.7	8	-3.7	N
30.52	89.08	55	5.44	3.3	-2.2	N
30.3	90.45	56	6.19	4	-2.2	N
30.56	90.31	58	2.7	2	-0.7	N
30.14	90.55	65	6.55	4.5	-2.1	N
29.46	90.47	69	13.74	6.5	-7.2	N
29.2	89.31	71	1	1.1	0.1	Y
30.04	91.02	74	6.83	9	2.2	N
31.19	89.18	74	2.71	1.8	-1	N
29.35	90.44	75	2.3	3	0.7	Y
30.16	91.06	76	3.68	4.5	0.8	Y
30.32	91.08	79	4.97	3.5	-1.5	N
30.19	91.14	83	3.98	3	-1	Y
31.33	90.06	85	1.95	1.8	-0.2	Y
31.37	89.55	88	1.74	1.5	-0.2	Y
30.08	91.19	90	3.86	3.3	-0.6	Y
29.41	91.11	92	12.18	6.5	-5.7	N
30.41	88.15	96	10.42	6	-4.4	N
30.46	91.23	97	4.09	1.5	-2.6	N
29.49	91.33	109	6.14	5	-1.1	N
29.59	91.47	119	3.98	3	-1	Y
30.55	87.47	127	10.73	4	-6.7	N
30.12	91.59	129	5.36	2.3	-3.1	N
31.1	90.53	134	1.85	2.3	0.4	Y
33.59	81.01	6	6.03	3.3	-2.8	N
33.54	81.32	23	5.1	3	-2.1	N
34.22	81.05	28	4.32	2	-2.3	N
33.3	80.52	34	9.69	6.5	-3.2	N
34.17	81.37	36	5.14	1.6	-3.6	N
33.36	81.41	40	4.64	3.3	-1.4	N
33.41	80.14	54	4.55	3	-1.6	N
33.11	80.48	55	11.3	3.5	-7.8	N
33.55	82.09	59	6.17	2.8	-3.4	N
34.47	81.28	60	7.18	2	-5.2	N
33.22	81.58	63	3.66	2	-1.7	N
34.3	82.02	64	8.26	2.8	-5.5	N
34.45	80.24	68	3.33	2	-1.3	N
35.01	81	74	7.02	3	-4	N
33.39	79.49	77	6.95	5	-2	N
34.11	79.43	81	4.99	4	-1	Y
35.13	80.56	88	6.13	2.5	-3.6	N
32.52	81.58	89	5.64	2.8	-2.9	N
34.54	82.13	90	14.85	5	-9.9	N
34.58	80.04	92	4.27	2.3	-2	N
35.07	81.58	93	8.2	2.5	-5.7	N
32.54	80.02	95	9.59	6	-3.6	N
33.01	82.24	97	6.61	3.5	-3.1	N
32.32	80.54	98	7.09	5	-2.1	N
35.16	81.56	102	6.05	2	-4.1	N
34.25	79.23	104	6.79	3	-3.8	N
34.41	82.49	109	5.7	0.7	-5.1	N
34.45	79.27	110	5.6	2.3	-3.4	N
33.05	79.29	111	8.69	4.5	-4.2	N
32.28	80.2	111	8.19	3.3	-4.9	N
33.53	83.08	115	4.77	0.7	-4.1	N
32.35	82.22	118	9.08	3.3	-5.8	N
33.5	79.03	118	9.19	5	-4.2	N
32.13	80.45	121	15.13	5	-10.1	N
34.27	83.14	125	5.26	0.7	-4.6	N
32.08	81.12	125	12.37	4.5	-7.9	N
35.41	80.29	125	5.35	0.7	-4.7	N
35.09	82.49	127	5.74	1.3	-4.5	N
35.45	81.41	128	2.87	0.8	-2.1	N
34.37	78.59	130	3.6	2.3	-1.4	N
35.34	82.23	132	6.67	2.5	-4.2	N
